approval_c,descriptio,laying_met,deviation_,is_deviati,built_date,deviatio_1,start_poin,x,y
,,canalization,0,0,2015-07-09 00:00:00,0,1,4416880,7658502
,,canalization,0,0,2015-07-09 00:00:00,0,0,4416963,7658480
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417024,7658387
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417120,7658410
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417177,7658414
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417257,7658409
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417431,7658343
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417630,7658323
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417573,7658057
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417579,7657998
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417650,7657984
,,canalization,0,0,2015-07-09 00:00:00,0,0,4417774,7657946
,последний колодец,canalization,0,0,2015-07-09 00:00:00,0,0,4417855,7657927
,,canalization,0,0,2015-07-09 00:00:00,0,0,4416961,7658451
,,canalization,0,0,2015-07-09 00:00:00,0,0,4416927,7658422
,,ground,0,0,2015-08-02 11:07:01,0,1,4442157,7663559
,,ground,0,0,2015-08-02 11:07:26,0,0,4442157,7663559
,,ground,0,0,2015-08-02 11:09:47,0,0,4442125,7663702
,,ground,0,0,2015-08-02 11:11:55,0,0,4441990,7663817
,,ground,0,0,2015-08-02 11:13:11,0,0,4441856,7663801
,,ground,0,0,2015-08-02 11:14:11,0,0,4441765,7663775
,,ground,0,0,2015-08-02 11:15:47,0,0,4441823,7663801
,,ground,0,0,2015-08-02 11:18:07,0,0,4441694,7663865
,,ground,0,0,2015-08-02 11:20:50,0,0,4441400,7663877
,,ground,0,0,2015-08-02 11:23:38,0,0,4441046,7663773
,,ground,0,0,2015-08-02 11:26:01,0,0,4440842,7663641
,,ground,0,0,2015-08-02 11:27:19,0,0,4440773,7663555
,,ground,0,0,2015-08-02 11:30:40,0,0,4440598,7663433
,,ground,0,0,2015-08-02 11:34:27,0,0,4440080,7663285
,,ground,0,0,2015-08-02 11:38:34,0,0,4439572,7663184
,,ground,0,0,2015-08-02 11:40:14,0,0,4439328,7663151
,,ground,0,0,2015-08-02 11:41:21,0,0,4439279,7663097
,,ground,0,0,2015-08-02 11:43:48,0,0,4439160,7663043
,,ground,0,0,2015-08-02 11:52:09,0,0,4438953,7663499
,,ground,0,0,2015-08-02 11:53:12,0,0,4438929,7663585
,,ground,0,0,2015-08-02 11:56:00,0,0,4438565,7663801
,,ground,0,0,2015-08-02 11:58:05,0,0,4438436,7663856
,,ground,0,0,2015-08-02 11:59:01,0,0,4438428,7663949
,,ground,0,0,2015-08-02 12:02:36,0,0,4437986,7663872
,,ground,0,0,2015-08-02 12:06:21,0,0,4437483,7663748
,,ground,0,0,2015-08-02 12:11:20,0,0,4436955,7663650
,,ground,0,0,2015-08-02 12:14:21,0,0,4436549,7663591
,,ground,0,0,2015-08-02 12:16:49,0,0,4436211,7663576
,,ground,0,0,2015-08-02 12:18:14,0,0,4436041,7663549
,,ground,0,0,2015-08-02 12:19:11,0,0,4435947,7663558
,,ground,0,0,2015-08-02 12:20:01,0,0,4435898,7663499
,,ground,0,0,2015-08-02 12:23:43,0,0,4435412,7663658
,,ground,0,0,2015-08-02 12:26:40,0,0,4434973,7663748
,,ground,0,0,2015-08-02 12:29:02,0,0,4434597,7663820
,,ground,0,0,2015-08-02 12:30:01,0,0,4434483,7663793
,,ground,0,0,2015-08-02 12:32:43,0,0,4434473,7663836
,,ground,0,0,2015-08-02 12:35:09,0,0,4434301,7663595
,,ground,0,0,2015-08-02 12:36:27,0,0,4434099,7663657
,,ground,0,0,2015-08-02 12:37:02,0,0,4434065,7663639
,,ground,0,0,2015-08-02 12:40:18,0,0,4433780,7663363
,,ground,0,0,2015-08-02 12:41:04,0,0,4433780,7663384
,,ground,0,0,2015-08-02 12:43:58,0,0,4433638,7663657
,,ground,0,0,2015-08-02 13:01:31,0,0,4433391,7664133
,,ground,0,0,2015-08-02 13:02:27,0,0,4433347,7664184
,,ground,0,0,2015-08-02 13:09:55,0,0,4433160,7664457
,,ground,0,0,2015-08-03 05:55:09,0,0,4432951,7664346
,,ground,0,0,2015-08-03 05:57:06,0,0,4432830,7664246
,,ground,0,0,2015-08-03 06:02:29,0,0,4432447,7664249
,,ground,0,0,2015-08-03 06:09:30,0,0,4432348,7664192
,,ground,0,0,2015-08-03 06:10:15,0,0,4432296,7664198
,,ground,0,0,2015-08-03 06:16:56,0,0,4432265,7664187
,,ground,0,0,2015-08-03 06:18:24,0,0,4432197,7664207
,,ground,0,0,2015-08-03 06:21:20,0,0,4431810,7664108
,,ground,0,0,2015-08-03 06:22:11,0,0,4431723,7664123
,,ground,0,0,2015-08-04 05:12:02,0,0,4431654,7664176
,,ground,0,0,2015-08-04 05:12:37,0,0,4431605,7664181
,,ground,0,0,2015-08-04 05:13:45,0,0,4431434,7664189
,,ground,0,0,2015-08-04 05:14:52,0,0,4431313,7664158
,,ground,0,0,2015-08-04 05:15:53,0,0,4431336,7664217
,,ground,0,0,2015-08-04 05:16:22,0,0,4431321,7664238
,,ground,0,0,2015-08-04 05:17:10,0,0,4431316,7664306
,,ground,0,0,2015-08-04 05:17:41,0,0,4431303,7664338
,,ground,0,0,2015-08-04 05:26:13,0,0,4430855,7664265
,,ground,0,0,2015-08-04 05:27:46,0,0,4430403,7664139
,,ground,0,0,2015-08-04 05:31:21,0,0,4430025,7664019
,,ground,0,0,2015-08-04 06:31:34,0,0,4429877,7664002
,,ground,0,0,2015-08-04 06:32:25,0,0,4429827,7663934
,,ground,0,0,2015-08-04 06:33:49,0,0,4429738,7663910
,,ground,0,0,2015-08-04 06:41:23,0,0,4429628,7663597
,,ground,0,0,2015-08-04 06:44:12,0,0,4429568,7663578
,,ground,0,0,2015-08-04 06:45:10,0,0,4429518,7663526
,,ground,0,0,2015-08-04 07:07:50,0,0,4429454,7663075
,,ground,0,0,2015-08-04 07:11:43,0,0,4429368,7662972
,,ground,0,0,2015-08-04 07:13:43,0,0,4429354,7662937
,,ground,0,0,2015-08-04 07:16:25,0,0,4429186,7662958
,,ground,0,0,2015-08-04 07:21:54,0,0,4428969,7663069
,,ground,0,0,2015-08-04 08:22:10,0,0,4428618,7663073
,,ground,0,0,2015-08-04 08:30:01,0,0,4428493,7663087
,,ground,0,0,2015-08-04 08:34:30,0,0,4428304,7663171
,,ground,0,0,2015-08-04 08:35:21,0,0,4428240,7663152
,,ground,0,0,2015-08-04 08:38:32,0,0,4427844,7662989
,,ground,0,0,2015-08-04 08:52:00,0,0,4427859,7662567
,,ground,0,0,2015-08-04 08:55:38,0,0,4427814,7662453
,,ground,0,0,2015-08-04 08:56:38,0,0,4427793,7662394
,,ground,0,0,2015-08-04 09:06:44,0,0,4427655,7661981
,,ground,0,0,2015-08-04 09:14:13,0,0,4427636,7661550
,,ground,0,0,2015-08-04 09:23:16,0,0,4427569,7661106
,,ground,0,0,2015-08-04 09:29:04,0,0,4427519,7660735
,,ground,0,0,2015-08-04 09:29:34,0,0,4427489,7660734
,,ground,0,0,2015-08-04 09:35:01,0,0,4427313,7660640
,,ground,0,0,2015-08-04 09:36:49,0,0,4427205,7660692
,,ground,0,0,2015-08-04 10:46:50,0,0,4427136,7660758
,,ground,0,0,2015-08-04 11:07:53,0,0,4427119,7660780
,,ground,0,0,2015-08-04 11:10:59,0,0,4426773,7660932
,,ground,0,0,2015-08-04 11:12:07,0,0,4426623,7660983
,,ground,0,0,2015-08-04 11:13:48,0,0,4426425,7661043
,,ground,0,0,2015-08-04 11:14:51,0,0,4426297,7660991
,,ground,0,0,2015-08-04 11:15:51,0,0,4426220,7660972
,,ground,0,0,2015-08-04 11:19:20,0,0,4425803,7660741
,,ground,0,0,2015-08-04 11:28:56,0,0,4425500,7660484
,,ground,0,0,2015-08-04 11:36:00,0,0,4425273,7660243
,,ground,0,0,2015-08-04 11:38:42,0,0,4425209,7660249
,,ground,0,0,2015-08-04 11:39:30,0,0,4425148,7660326
,,ground,0,0,2015-08-04 11:40:23,0,0,4424902,7660414
,,ground,0,0,2015-08-04 11:45:47,0,0,4424960,7660410
,,ground,0,0,2015-08-04 11:52:33,0,0,4424962,7660435
,,ground,0,0,2015-08-04 11:53:06,0,0,4424946,7660451
,,ground,0,0,2015-08-04 11:53:49,0,0,4424920,7660472
,,ground,0,0,2015-08-04 12:01:43,0,0,4424560,7660660
,,ground,0,0,2015-08-04 13:16:27,0,0,4424293,7660796
,,ground,0,0,2015-08-04 13:18:24,0,0,4424259,7660791
,,ground,0,0,2015-08-04 13:41:40,0,0,4424273,7660797
,,ground,0,0,2015-08-04 13:43:05,0,0,4424134,7660740
,,ground,0,0,2015-08-04 13:44:55,0,0,4424124,7660645
,,ground,0,0,2015-08-04 13:47:32,0,0,4423729,7660291
,,ground,0,0,2015-08-04 13:50:14,0,0,4423358,7660009
,,ground,0,0,2015-08-04 13:57:33,0,0,4423260,7659803
,,ground,0,0,2015-08-04 14:21:42,0,0,4423091,7659602
,,ground,0,0,2015-08-04 14:29:13,0,0,4422624,7659518
,,ground,0,0,2015-08-04 14:34:22,0,0,4422173,7659362
,,ground,0,0,2015-08-04 14:38:31,0,0,4422238,7659378
,,ground,0,0,2015-08-04 14:44:07,0,0,4422124,7659446
,,ground,0,0,2015-08-04 14:52:01,0,0,4421738,7659133
,,ground,0,0,2015-08-04 15:01:45,0,0,4421437,7658960
,,ground,0,0,2015-08-04 15:18:31,0,0,4421117,7658770
,,ground,0,0,2015-08-06 10:01:41,0,0,4421129,7658760
,,ground,0,0,2015-08-06 11:06:17,0,0,4421058,7658720
,,ground,0,0,2015-08-06 13:37:31,0,0,4420773,7658538
,,ground,0,0,2015-08-06 13:39:51,0,0,4420701,7658419
,,ground,0,0,2015-08-06 13:43:26,0,0,4420519,7658446
,,ground,0,0,2015-08-06 13:49:09,0,0,4420337,7658365
,,ground,0,0,2015-08-06 13:56:45,0,0,4420232,7658193
,,ground,0,0,2015-08-06 14:17:42,0,0,4420157,7658332
,,ground,0,0,2015-08-06 14:23:57,0,0,4420040,7658223
,,ground,0,0,2015-08-06 14:34:01,0,0,4419697,7657979
,,ground,0,0,2015-08-06 14:36:34,0,0,4419680,7657928
,,ground,0,0,2015-08-06 15:03:40,0,0,4419400,7657727
,,ground,0,0,2015-08-06 15:34:59,0,0,4419339,7657691
,,ground,0,0,2015-08-06 15:37:17,0,0,4419231,7657660
,,ground,0,0,2015-08-06 15:43:56,0,0,4418939,7657559
,,ground,0,0,2015-08-06 15:46:21,0,0,4418630,7657307
,,ground,0,0,2015-08-08 04:53:08,0,0,4418590,7657253
,,ground,0,0,2015-08-08 04:55:35,0,0,4418565,7657210
,,ground,0,0,2015-08-08 05:00:57,0,0,4418432,7657409
,,ground,0,0,2015-08-08 05:03:32,0,0,4418280,7657703
,,ground,0,0,2015-08-10 07:54:38,0,0,4418070,7657869
,,ground,0,0,2015-08-10 07:56:21,0,0,4418025,7657916
